"Address","Source Line","Assembly","Hardware Event Count: Total","Hardware Event Count: Self","Hardware Event Sample Count: Total","Hardware Event Sample Count: Self"
"0x7f61252f507f","480","mov esi, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f5085","480","add esi, 0x8","","","",""
"0x7f61252f5088","480","mov dword ptr [rdx+0xdc], esi","","","",""
"0x7f61252f508e","480","mov rdx, 0x7f61206cfef0","","","",""
"0x7f61252f5098","480","and esi, 0x7ffff8","","","",""
"0x7f61252f509e","480","cmp esi, 0x0","","","",""
"0x7f61252f50a1","480","jz 0x7f61252f6def <Block 315>","","","",""
"0x7f61252f50a7","0","Block 47:","","","",""
"0x7f61252f50a7","480","mov rdx, r9","","","",""
"0x7f61252f50aa","480","mov rsi, 0x7f61206d83b8","","","",""
"0x7f61252f50b4","480","add qword ptr [rsi+0x108], 0x1","","","",""
"0x7f61252f50bc","480","mov rdx, 0x7f6120440a30","","","",""
"0x7f61252f50c6","480","mov esi, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f50cc","480","add esi, 0x8","","","",""
"0x7f61252f50cf","480","mov dword ptr [rdx+0xdc], esi","","","",""
"0x7f61252f50d5","480","mov rdx, 0x7f61202c9480","","","",""
"0x7f61252f50df","480","and esi, 0x7ffff8","","","",""
